SIGLA_UF;CODIGO_CARGO;DESCRICAO_CARGO;NOME_CANDIDATO;SEQUENCIAL_CANDIDATO;COD_SITUACAO_CANDIDATURA;DES_SITUACAO_CANDIDATURA;NUMERO_PARTIDO;CODIGO_LEGENDA;CODIGO_OCUPACAO;DESCRICAO_OCUPACAO;IDADE_DATA_ELEICAO;CODIGO_SEXO;DESCRICAO_SEXO;COD_GRAU_INSTRUCAO;DESCRICAO_GRAU_INSTRUCAO;CODIGO_ESTADO_CIVIL;DESCRICAO_ESTADO_CIVIL;CODIGO_COR_RACA;DESCRICAO_COR_RACA;CODIGO_NACIONALIDADE;DESCRICAO_NACIONALIDADE;DESPESA_MAX_CAMPANHA;COD_SIT_TOT_TURNO;DESC_SIT_TOT_TURNO;VALOR_BEM;VALOR_RECEITA
AC;7;DEPUTADO ESTADUAL;NILTON LUIZ COSSON MOTA;10000000197;2;DEFERIDO;13;10000000028;103;AGR‚NOMO;53;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;690000;5;SUPLENTE;778156.58;79306.75
AC;7;DEPUTADO ESTADUAL;EMERSON DO NASCIMENTO SILVA;10000000229;2;DEFERIDO;10;10000000029;266;PROFESSOR DE ENSINO MêDIO;42;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;500000;5;SUPLENTE;250000;43586.89
AC;7;DEPUTADO ESTADUAL;PEDRO OLIVEIRA DA SILVA;10000000061;2;DEFERIDO;55;10000000022;999;OUTROS;42;2;MASCULINO;6;ENSINO MêDIO COMPLETO;9;DIVORCIADO(A);1;BRANCA;1;BRASILEIRA NATA;400000;5;SUPLENTE;25000;3438.4
AC;7;DEPUTADO ESTADUAL;REGINALDO DA SILVA CORDEIRO;10000000072;2;DEFERIDO;55;10000000022;166;LOCUTOR E COMENTARISTA DE RµDIO E TELEVIS«O E RADIALISTA;61;2;MASCULINO;4;ENSINO FUNDAMENTAL COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;400000;5;SUPLENTE;303000;3438.4
AC;7;DEPUTADO ESTADUAL;MARILETE VITORINO DE SIQUEIRA;10000000075;2;DEFERIDO;55;10000000022;131;ADVOGADO;52;4;FEMININO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;1;BRASILEIRA NATA;400000;5;SUPLENTE;150000;34010.4
AC;7;DEPUTADO ESTADUAL;AURELIANO ALVES RABELO;10000000026;2;DEFERIDO;12;10000000021;163;CANTOR E COMPOSITOR;42;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;320000;3897.35
AC;7;DEPUTADO ESTADUAL;FAGNER CALEGARIO DO NASCIMENTO;10000000294;2;DEFERIDO;11;10000000030;257;EMPRESµRIO;33;2;MASCULINO;7;SUPERIOR INCOMPLETO;1;SOLTEIRO(A);1;BRANCA;1;BRASILEIRA NATA;800000;5;SUPLENTE;725000;5700
AC;7;DEPUTADO ESTADUAL;EURICO CARVALHO CORDEIRO;10000000044;2;DEFERIDO;12;10000000021;602;PECUARISTA;51;2;MASCULINO;4;ENSINO FUNDAMENTAL COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;160000;13979.2
AC;7;DEPUTADO ESTADUAL;JECSON CAVALCANTE DUTRA;10000000047;2;DEFERIDO;12;10000000021;131;ADVOGADO;38;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;150000;5706.83
AC;7;DEPUTADO ESTADUAL;RAIMUNDO DA COSTA MARTINS;10000000305;2;DEFERIDO;11;10000000030;999;OUTROS;46;2;MASCULINO;6;ENSINO MêDIO COMPLETO;3;CASADO(A);1;BRANCA;1;BRASILEIRA NATA;800000;5;SUPLENTE;153340;2087.3
AC;7;DEPUTADO ESTADUAL;JUVENAL DE ARAUJO CORREA;10000000247;2;DEFERIDO;31;10000000029;233;POLICIAL MILITAR;47;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;900000;5;SUPLENTE;321000;32255
AC;7;DEPUTADO ESTADUAL;CLAUDIO MANOEL VERAS DE FIGUEIREDO;10000000249;2;DEFERIDO;54;10000000029;213;FISCAL;59;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;1;BRASILEIRA NATA;500000;5;SUPLENTE;500000;2000
AC;6;DEPUTADO FEDERAL;VANDA DENIR MILANI NOGUEIRA;10000000615;2;DEFERIDO;11;10000000036;218;MEMBRO DO MINISTêRIO PÈBLICO;61;4;FEMININO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;1;BRASILEIRA NATA;2000000;5;SUPLENTE;646866.28;296350
AC;7;DEPUTADO ESTADUAL;FRANCISCO FERNANDES DE ARAÈJO;10000000543;2;DEFERIDO;20;10000000035;999;OUTROS;35;2;MASCULINO;3;ENSINO FUNDAMENTAL INCOMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;800000;5;SUPLENTE;53000;7391
AC;7;DEPUTADO ESTADUAL;MARCELINO LIMA DE SOUZA;10000000375;2;DEFERIDO;25;10000000031;999;OUTROS;37;2;MASCULINO;3;ENSINO FUNDAMENTAL INCOMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;3000;3913
AC;7;DEPUTADO ESTADUAL;WIRTO HUGO DA SILVA LIMA;10000000566;2;DEFERIDO;45;10000000035;124;CONTADOR;47;2;MASCULINO;6;ENSINO MêDIO COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;500000;5;SUPLENTE;77353.03;4199
AC;7;DEPUTADO ESTADUAL;REGINA NORMA DE ARAÈJO ROSAS;10000000580;2;DEFERIDO;45;10000000035;266;PROFESSOR DE ENSINO MêDIO;66;4;FEMININO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;500000;5;SUPLENTE;98000;3199
AC;6;DEPUTADO FEDERAL;FRANCISCO CARLOS OLIVEIRA DA CRUZ;10000000603;2;DEFERIDO;70;10000000036;296;SERVIDOR PÈBLICO FEDERAL;44;2;MASCULINO;8;SUPERIOR COMPLETO;9;DIVORCIADO(A);3;PARDA;1;BRASILEIRA NATA;3000000;5;SUPLENTE;23919.63;13207.8
AC;6;DEPUTADO FEDERAL;ANT‚NIA LUCILEIA CRUZ RAMOS C∂MARA;10000000614;2;DEFERIDO;20;10000000036;277;DEPUTADO;44;4;FEMININO;8;SUPERIOR COMPLETO;3;CASADO(A);4;AMARELA;1;BRASILEIRA NATA;2000000;5;SUPLENTE;1628000;630300
AC;7;DEPUTADO ESTADUAL;MICHEL OLIVEIRA DA ROCHA;10000000280;2;DEFERIDO;19;10000000029;999;OUTROS;42;2;MASCULINO;6;ENSINO MêDIO COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;900000;5;SUPLENTE;900000;39060
AC;7;DEPUTADO ESTADUAL;JOSENIL COSTA CHAVES;10000000510;2;DEFERIDO;23;10000000034;999;OUTROS;45;2;MASCULINO;4;ENSINO FUNDAMENTAL COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;1000000;5;SUPLENTE;591200;9490.5
AC;7;DEPUTADO ESTADUAL;LUIZ GONZAGA ALVES FILHO;10000000573;2;DEFERIDO;45;10000000035;296;SERVIDOR PÈBLICO FEDERAL;55;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;500000;3;ELEITO POR MêDIA;944867.28;147594.86
AC;7;DEPUTADO ESTADUAL;JORGENETE MESQUITA JARDIM;10000000450;2;DEFERIDO;40;10000000033;403;"CORRETOR DE IM‡VEIS	 SEGUROS	 T÷TULOS E VALORES";46;4;FEMININO;4;ENSINO FUNDAMENTAL COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;0;5;SUPLENTE;3000;6724.81
AC;7;DEPUTADO ESTADUAL;YOLANDA GARDENAL CABRERA CAMOLEZ;10000000457;2;DEFERIDO;40;10000000033;297;SERVIDOR PÈBLICO ESTADUAL;53;4;FEMININO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;1;BRASILEIRA NATA;0;5;SUPLENTE;1100000;24596.85
AC;7;DEPUTADO ESTADUAL;SALOMAO MATOS PINHEIRO DE PAULA;10000000290;2;DEFERIDO;11;10000000030;171;JORNALISTA E REDATOR;44;2;MASCULINO;7;SUPERIOR INCOMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;800000;5;SUPLENTE;300000;2087.3
AC;7;DEPUTADO ESTADUAL;JOSE NILTON MELO DE OLIVEIRA;10000000502;2;DEFERIDO;23;10000000034;298;SERVIDOR PÈBLICO MUNICIPAL;40;2;MASCULINO;6;ENSINO MêDIO COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;1000000;5;SUPLENTE;154500;7299.6
AC;7;DEPUTADO ESTADUAL;FERNANDO SOUSA CARDOSO;10000000503;2;DEFERIDO;23;10000000034;101;ENGENHEIRO;50;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;1;BRASILEIRA NATA;1000000;5;SUPLENTE;24000;5190.5
AC;7;DEPUTADO ESTADUAL;ELIANE PEREIRA SINHASIQUE;10000000532;2;DEFERIDO;15;10000000035;278;VEREADOR;44;4;FEMININO;8;SUPERIOR COMPLETO;7;SEPARADO(A) JUDICIALMENTE;2;PRETA;1;BRASILEIRA NATA;500000;2;ELEITO POR QP;489000;66758
AC;7;DEPUTADO ESTADUAL;CARLOS FRANCISCO AUGUSTO GADELHA;10000000540;2;DEFERIDO;15;10000000035;296;SERVIDOR PÈBLICO FEDERAL;56;2;MASCULINO;6;ENSINO MêDIO COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;500000;5;SUPLENTE;978000;25190
AC;6;DEPUTADO FEDERAL;LUIZ ANUTE DOS SANTOS;10000000625;2;DEFERIDO;77;10000000036;297;SERVIDOR PÈBLICO ESTADUAL;47;2;MASCULINO;8;SUPERIOR COMPLETO;9;DIVORCIADO(A);3;PARDA;1;BRASILEIRA NATA;2000000;5;SUPLENTE;210000;175000
AC;7;DEPUTADO ESTADUAL;FRANESI DA SILVA RIBEIRO;10000000380;2;DEFERIDO;25;10000000031;999;OUTROS;31;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);2;PRETA;1;BRASILEIRA NATA;600000;5;SUPLENTE;53000;6620
AC;7;DEPUTADO ESTADUAL;MAURICIO SANDRO ANDRE;10000000387;2;DEFERIDO;25;10000000031;999;OUTROS;45;2;MASCULINO;6;ENSINO MêDIO COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;37500;5961
AC;7;DEPUTADO ESTADUAL;MARIA DA CONCEIÄ«O FERREIRA;10000000123;2;DEFERIDO;65;10000000024;266;PROFESSOR DE ENSINO MêDIO;58;4;FEMININO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;2737000;28562.5
AC;7;DEPUTADO ESTADUAL;MARCELO SIQUEIRA DE OLIVEIRA;10000000198;2;DEFERIDO;13;10000000028;113;ENFERMEIRO;33;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;690000;5;SUPLENTE;100000;89310
AC;7;DEPUTADO ESTADUAL;JOSê ARNALDO DA SILVA BARROS;10000000230;2;DEFERIDO;10;10000000029;999;OUTROS;45;2;MASCULINO;4;ENSINO FUNDAMENTAL COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;500000;5;SUPLENTE;5000;23588.5
AC;6;DEPUTADO FEDERAL;JêSSICA ROJAS SALES;10000000761;2;DEFERIDO;15;10000000036;111;MêDICO;33;4;FEMININO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);1;BRANCA;1;BRASILEIRA NATA;2000000;2;ELEITO POR QP;150000;321400
AC;7;DEPUTADO ESTADUAL;JOSê ALVES DA SILVA;10000000023;2;DEFERIDO;12;10000000021;171;JORNALISTA E REDATOR;29;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;150000;1141.55
AC;7;DEPUTADO ESTADUAL;ELIZEU MESQUITA DA SILVA;10000000043;2;DEFERIDO;12;10000000021;257;EMPRESµRIO;47;2;MASCULINO;4;ENSINO FUNDAMENTAL COMPLETO;9;DIVORCIADO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;750000;23284.44
AC;7;DEPUTADO ESTADUAL;FRANCISCO BRIGIDO DA COSTA;10000000054;2;DEFERIDO;12;10000000021;297;SERVIDOR PÈBLICO ESTADUAL;56;2;MASCULINO;6;ENSINO MêDIO COMPLETO;9;DIVORCIADO(A);2;PRETA;1;BRASILEIRA NATA;600000;5;SUPLENTE;962000;26250
AC;7;DEPUTADO ESTADUAL;GLENN KELSON DA SILVA CASTRO;10000000300;2;DEFERIDO;11;10000000030;297;SERVIDOR PÈBLICO ESTADUAL;42;2;MASCULINO;8;SUPERIOR COMPLETO;9;DIVORCIADO(A);3;PARDA;1;BRASILEIRA NATA;800000;5;SUPLENTE;70140;16087.3
AC;7;DEPUTADO ESTADUAL;JOELSO DOS SANTOS PONTES;10000000301;2;DEFERIDO;11;10000000030;278;VEREADOR;26;2;MASCULINO;6;ENSINO MêDIO COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;800000;5;SUPLENTE;227000;16593.94
AC;7;DEPUTADO ESTADUAL;JOSE DELMAR SANTIAGO;10000000536;2;DEFERIDO;15;10000000035;296;SERVIDOR PÈBLICO FEDERAL;57;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;500000;5;SUPLENTE;1052950;54511.73
AC;7;DEPUTADO ESTADUAL;REN“ ROBERTO NOBRE DE FONTES;10000000548;2;DEFERIDO;20;10000000035;297;SERVIDOR PÈBLICO ESTADUAL;26;2;MASCULINO;8;SUPERIOR COMPLETO;9;DIVORCIADO(A);3;PARDA;1;BRASILEIRA NATA;800000;5;SUPLENTE;57500;10471
AC;7;DEPUTADO ESTADUAL;ANTONIA FRANÄA DE OLVIEIRA VIEIRA;10000000561;2;DEFERIDO;45;10000000035;277;DEPUTADO;53;4;FEMININO;6;ENSINO MêDIO COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;500000;5;SUPLENTE;231500;40379.32
AC;6;DEPUTADO FEDERAL;OSVALDO ALVES RIBEIRO NETO;10000000617;2;DEFERIDO;11;10000000036;131;ADVOGADO;30;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);1;BRANCA;1;BRASILEIRA NATA;2000000;5;SUPLENTE;300000;86695
AC;7;DEPUTADO ESTADUAL;GILBERTO GIL GOUVEIA DINIZ;10000000590;2;DEFERIDO;70;10000000035;277;DEPUTADO;41;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;1;BRASILEIRA NATA;1000000;5;SUPLENTE;243848.9;127426
AC;6;DEPUTADO FEDERAL;EDSON BRAGA RODRIGUES;10000000608;2;DEFERIDO;45;10000000036;111;MêDICO;45;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);1;BRANCA;1;BRASILEIRA NATA;2000000;5;SUPLENTE;1110708.76;32564
AC;6;DEPUTADO FEDERAL;ILDERLEI SOUZA RODRIGUES CORDEIRO;10000000616;2;DEFERIDO;22;10000000036;257;EMPRESµRIO;37;2;MASCULINO;7;SUPERIOR INCOMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;2000000;5;SUPLENTE;25800000;676832.03
AC;6;DEPUTADO FEDERAL;IDESIO LUIS FRANKE;10000000161;2;DEFERIDO;13;10000000027;103;AGR‚NOMO;47;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;1;BRASILEIRA NATA;1250000;5;SUPLENTE;325500;156719.32
AC;7;DEPUTADO ESTADUAL;LUIZ BASTOS DE ALMEIDA;10000000382;2;DEFERIDO;25;10000000031;278;VEREADOR;60;2;MASCULINO;6;ENSINO MêDIO COMPLETO;9;DIVORCIADO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;230000;667.8
AC;6;DEPUTADO FEDERAL;ANA PAULA MORAIS DE HOLANDA;10000000721;2;DEFERIDO;50;10000000025;176;COZINHEIRO;28;4;FEMININO;6;ENSINO MêDIO COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;100000;4;N«O ELEITO;50000;1580
AC;7;DEPUTADO ESTADUAL;FLAVIO DE OLIVEIRA PEREIRA;10000000362;2;DEFERIDO;33;10000000031;999;OUTROS;34;2;MASCULINO;7;SUPERIOR INCOMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;300000;5;SUPLENTE;38035;4137.69
AC;7;DEPUTADO ESTADUAL;ELISON DENIS AZEVEDO DA SILVA;10000000456;2;DEFERIDO;40;10000000033;297;SERVIDOR PÈBLICO ESTADUAL;39;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;0;5;SUPLENTE;126000;35960.72
AC;7;DEPUTADO ESTADUAL;RIVAMAR GUEDES DA SILVA;10000000460;2;DEFERIDO;40;10000000033;142;PROFESSOR DE ENSINO SUPERIOR;34;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;0;5;SUPLENTE;480000;23876.71
AC;7;DEPUTADO ESTADUAL;SEBASTI«O DOS SANTOS OLIVEIRA;10000000037;2;DEFERIDO;12;10000000021;169;COMERCIANTE;36;2;MASCULINO;6;ENSINO MêDIO COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;5000;1618.88
AC;6;DEPUTADO FEDERAL;MARFIZA DE LIMA GALV«O;10000000605;2;DEFERIDO;55;10000000036;235;PROFESSOR E INSTRUTOR DE FORMAÄ«O PROFISSIONAL;35;4;FEMININO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;1;BRASILEIRA NATA;2000000;5;SUPLENTE;18000;547006.36
AC;7;DEPUTADO ESTADUAL;JOSE DE OLIVEIRA SOUZA;10000000701;2;DEFERIDO;11;10000000030;999;OUTROS;30;2;MASCULINO;6;ENSINO MêDIO COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;800000;5;SUPLENTE;13000;4087.3
AC;7;DEPUTADO ESTADUAL;CIRIO CESAR SILVA DE ALMEIDA;10000000477;2;DEFERIDO;22;10000000034;298;SERVIDOR PÈBLICO MUNICIPAL;44;2;MASCULINO;8;SUPERIOR COMPLETO;9;DIVORCIADO(A);3;PARDA;1;BRASILEIRA NATA;500000;5;SUPLENTE;5500;13933.5
AC;7;DEPUTADO ESTADUAL;PAULO MOREIRA DE ARAÈJO;10000000501;2;DEFERIDO;23;10000000034;999;OUTROS;26;2;MASCULINO;6;ENSINO MêDIO COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;1000000;5;SUPLENTE;4500;99.9
AC;7;DEPUTADO ESTADUAL;FRANCISCO DAS CHAGAS SANTOS;10000000525;2;DEFERIDO;77;10000000034;124;CONTADOR;51;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;1000000;5;SUPLENTE;255765.35;500
AC;7;DEPUTADO ESTADUAL;SERGIO LOPES DE SOUZA;10000000526;2;DEFERIDO;77;10000000034;232;POLICIAL CIVIL;37;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;1;BRASILEIRA NATA;1000000;5;SUPLENTE;180000;12000
AC;7;DEPUTADO ESTADUAL;SEBASTI«O AFONSO SANTOS DE SOUZA;10000000335;2;DEFERIDO;43;10000000031;114;FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL;53;2;MASCULINO;8;SUPERIOR COMPLETO;9;DIVORCIADO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;12000;2577
AC;7;DEPUTADO ESTADUAL;JOSENITO QUEIROZ CARVALHO;10000000336;2;DEFERIDO;43;10000000031;999;OUTROS;27;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;1;BRASILEIRA NATA;600000;5;SUPLENTE;13000;5985
AC;7;DEPUTADO ESTADUAL;JOSE CARLOS REIS DA SILVA;10000000185;2;DEFERIDO;13;10000000028;233;POLICIAL MILITAR;49;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);2;PRETA;1;BRASILEIRA NATA;690000;5;SUPLENTE;366194.01;222178.5
AC;7;DEPUTADO ESTADUAL;ELIENE SANTOS GONÄALVES MATOS;10000000374;2;DEFERIDO;25;10000000031;266;PROFESSOR DE ENSINO MêDIO;37;4;FEMININO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;65000;749
AC;7;DEPUTADO ESTADUAL;SIDNEY DIAS DE OLIVEIRA;10000000186;2;DEFERIDO;13;10000000028;142;PROFESSOR DE ENSINO SUPERIOR;28;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);2;PRETA;1;BRASILEIRA NATA;690000;5;SUPLENTE;40000;10466.75
AC;7;DEPUTADO ESTADUAL;ANTONIO SêRGIO BAQUER DE BARROS;10000000060;2;DEFERIDO;55;10000000022;263;BI‡LOGO;33;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;400000;5;SUPLENTE;10000;59311
AC;7;DEPUTADO ESTADUAL;RAIMUNDO NONATO DE OLIVEIRA;10000000035;2;DEFERIDO;12;10000000021;233;POLICIAL MILITAR;59;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;100000;2273.3
AC;7;DEPUTADO ESTADUAL;CARLOS ALBERTO NOGUEIRA;10000000476;2;DEFERIDO;22;10000000034;602;PECUARISTA;61;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;500000;5;SUPLENTE;348999.52;17937.17
AC;7;DEPUTADO ESTADUAL;JOSE AUGUSTO PINHEIRO DA SILVEIRA;10000000027;2;DEFERIDO;12;10000000021;213;FISCAL;48;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;30000;19697.29
AC;7;DEPUTADO ESTADUAL;ANTONIO GERALDO SOBRINHO;10000000287;2;DEFERIDO;11;10000000030;999;OUTROS;49;2;MASCULINO;6;ENSINO MêDIO COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;800000;5;SUPLENTE;50000;1891.1
AC;7;DEPUTADO ESTADUAL;UELITON ALVES DE MELO;10000000284;2;DEFERIDO;19;10000000029;125;ADMINISTRADOR;36;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;900000;5;SUPLENTE;169000;24515
